description
"('TASTE LEGEND AUS ', 'ULTIMO NSW AU')"
"('Transfer from xx2075 NetBank', None)"
"('EG GROUP 1803 ', 'SILVERWATER AU AUS ')"
"('TRANSPORTFORNSW TAP ', 'SYDNEY AUS ')"
"('REPCO ', 'LIDCOMBE AU')"
"('AMX SUPERSTORES-23 ', 'CLYDE AU')"
"('Fast Transfer From THOMAS NG to PayID Phone Food', None)"
"('WOOLWORTHS 1129 ', 'NORTH RYDE AU AUS ')"
"('', 'COLES 0968COLES 0968 West Ryde AU AUS ')"
"('TASTE OF MEMORY PTY LT ', 'CHIPPENDALE NS AUS ')"
"('KMART 1368 ', 'NORTH RYDE AU')"
"('ZLR*Ramem Goku ', 'Glebe AU AUS ')"
"('LIVE GROUP 0003 ', 'EASTWOOD AU AUS ')"
"('Salary The U', 'niversity o 1180325')"
"('TRANSPORTFORNSW TAP ', 'SYDNEY AUS ')"
"('XIANGYAO ASIAN SUPERMA ', 'EASTWOOD AU ')"
"('7FRESH ', 'CAMPBELLTOWN7FRESHEPPING AU')"
"('WOOLWORTHS 1200 ', 'EASTWOOD AU AUS ')"
"('', 'SYDNEY TOOLS Roselands NS AUS ')"
"('SMP*', 'Horsley Park Tave Horsley Park AU AUS ')"
"('KMART ', 'MULGRAVE AUS ')"
"('VIOLA PTY LTD ', 'BALGOWLAH HEIGHTS NSW AU ')"
"('', 'SPEEDWAY WEST RYDE WEST RYDE NSWAU')"
"('', 'COLES 0968COLES 0968 West Ryde AU AUS ')"
"('TRANSPORTFORNSW TAP ', 'SYDNEY AUS ')"
"('Transfer to other Bank NetBank rent', None)"
"('AMX SUPERSTORES ', 'ROWVILLE VI AUS ')"
"('SQ *MICHAEL CHARGRILL ', 'Glebe AU')"
"('LIVE GROUP 0003 ', 'EASTWOOD AU AUS ')"
"('Q KHAN & M.T RANA WISEMANS FERR NS AUS ', None)"
"('WOOLWORTHS 1003 ', 'EASTERN CREEK AU AUS ')"
"('Google YouTube ', 'Barangaroo AU AUS ')"
"('TRANSPORTFORNSW TAP ', 'SYDNEY AUS ')"
"('TRANSPORTFORNSW TAP ', 'SYDNEY AUS ')"
"('STAR DISCOUNT CHEMIS ', 'WEST RYDE NSWAU')"
"('NXT*Thai Master Shop ', 'Eastern CreekNS AU')"
