Official Name Suburb,Official Name State
Adaminaby,New South Wales
Albury,New South Wales
Alectown,New South Wales
Alpine,New South Wales
Argoon,New South Wales
Arumpo,New South Wales
Banda Banda,New South Wales
Bannaby,New South Wales
Bar Point,New South Wales
Beggan Beggan,New South Wales
Berry Park,New South Wales
Biala,New South Wales
Bindera,New South Wales
Binya,New South Wales
Birriwa,New South Wales
Blackville,New South Wales
Blueys Beach,New South Wales
Bocobra,New South Wales
Bogong Peaks Wilderness,New South Wales
Broadmeadow,New South Wales
Broughams Gate,New South Wales
Brumby Plains,New South Wales
Budawang,New South Wales
Burrell Creek,New South Wales
Burroway,New South Wales
Cabramatta West,New South Wales
Camperdown,New South Wales
Cardiff Heights,New South Wales
Chippendale,New South Wales
Congo,New South Wales
Coolabah,New South Wales
Coorabell,New South Wales
Coraki,New South Wales
Coxs Creek,New South Wales
Crooble,New South Wales
Crows Nest,New South Wales
Darbalara,New South Wales
Dripstone,New South Wales
East Lynne,New South Wales
East Ryde,New South Wales
Ermington,New South Wales
Euchareena,New South Wales
Eurobodalla,New South Wales
Fawcetts Plain,New South Wales
Ferodale,New South Wales
Forest Reefs,New South Wales
Frog Rock,New South Wales
Georgetown,New South Wales
Gerringong,New South Wales
Glengarrie,New South Wales
Gocup,New South Wales
Great Mackerel Beach,New South Wales
Greendale,New South Wales
Greenfield Park,New South Wales
Gumbalie,New South Wales
Hamilton East,New South Wales
Hay,New South Wales
Hinton,New South Wales
Holgate,New South Wales
Hyland Park,New South Wales
Illabo,New South Wales
Ingleside,New South Wales
Jaunter,New South Wales
Jerrabomberra,New South Wales
Junction Hill,New South Wales
Kanangra,New South Wales
Kangaroo Valley,New South Wales
Keinbah,New South Wales
Keiraville,New South Wales
Kyeemagh,New South Wales
Kyle Bay,New South Wales
Lade Vale,New South Wales
Lakesland,New South Wales
Lavington,New South Wales
Lawson,New South Wales
Longreach,New South Wales
Louth Park,New South Wales
Lugarno,New South Wales
Mabins Well,New South Wales
Magenta,New South Wales
Mallabula,New South Wales
Manar,New South Wales
Marlowe,New South Wales
Middle Brother,New South Wales
Middle Cove,New South Wales
Mollymook Beach,New South Wales
Monterey,New South Wales
Moorilda,New South Wales
Morans Crossing,New South Wales
Morundah,New South Wales
Mount Fairy,New South Wales
Mount Mitchell,New South Wales
Mullaley,New South Wales
Myall Creek,New South Wales
Mystery Bay,New South Wales
Narellan,New South Wales
New Brighton,New South Wales
North Dorrigo,New South Wales
Numeralla,New South Wales
Obanvale,New South Wales
Parklea,New South Wales
Perrys Crossing,New South Wales
Pillar Valley,New South Wales
Pilot Wilderness,New South Wales
Port Macquarie,New South Wales
Reefton,New South Wales
Riverlea,New South Wales
Rixs Creek,New South Wales
Salt Ash,New South Wales
Smeaton Grange,New South Wales
Sofala,New South Wales
Southgate,New South Wales
Spring Hill,New South Wales
Stanford Merthyr,New South Wales
Stanwell Tops,New South Wales
Swan Bay,New South Wales
Sylvania Waters,New South Wales
Tabbil Creek,New South Wales
Tarlo,New South Wales
Tatton,New South Wales
The Basin,New South Wales
The Oaks,New South Wales
The Sandon,New South Wales
The Slopes,New South Wales
Tomago,New South Wales
Tomakin,New South Wales
Trentham Cliffs,New South Wales
Trundle,New South Wales
Tuena,New South Wales
Upper Mongogarie,New South Wales
Upper Tooloom,New South Wales
Wakool,New South Wales
Walcha,New South Wales
Wallanthery,New South Wales
Wambrook,New South Wales
Warburn,New South Wales
Waterview,New South Wales
West Pymble,New South Wales
Whoota,New South Wales
Wildes Meadow,New South Wales
Willigobung,New South Wales
Wilsons Creek,New South Wales
Woodview,New South Wales
Woronora,New South Wales
Wymah,New South Wales
Yerong Creek,New South Wales
Yowrie,New South Wales
Allambee,Victoria
Ardmona,Victoria
Arnold,Victoria
Barkly,Victoria
Baxter,Victoria
Beauchamp,Victoria
Bellarine,Victoria
Blackburn,Victoria
Bochara,Victoria
Boho South,Victoria
Boomahnoomoonah,Victoria
Broadmeadows,Victoria
Buln Buln,Victoria
Buln Buln East,Victoria
Burkes Flat,Victoria
California Gully,Victoria
Ceres,Victoria
Clayton South,Victoria
Delacombe,Victoria
Deptford,Victoria
Devils River,Victoria
Diamond Creek,Victoria
Dingee,Victoria
Doctors Flat,Victoria
Dunach,Victoria
East Bairnsdale,Victoria
Elmhurst,Victoria
Flowerdale,Victoria
Geelong West,Victoria
Glenalbyn,Victoria
Glenisla,Victoria
Goroke,Victoria
Hallston,Victoria
Hattah,Victoria
Heathcote South,Victoria
Hedley,Victoria
Hernes Oak,Victoria
Homewood,Victoria
Howqua,Victoria
Irrewillipe East,Victoria
Ivanhoe,Victoria
Jan Juc,Victoria
Kennington,Victoria
Kevington,Victoria
Kiata,Victoria
Kinglake Central,Victoria
Kotupna,Victoria
Kunat,Victoria
Little River,Victoria
Lower Plenty,Victoria
Lynbrook,Victoria
Maindample,Victoria
Maribyrnong,Victoria
McKinnon,Victoria
Meadow Creek,Victoria
Miowera,Victoria
Moe,Victoria
Moggs Creek,Victoria
Monbulk,Victoria
Mont Albert North,Victoria
Montmorency,Victoria
Murchison,Victoria
Myrtle Creek,Victoria
Nanneella,Victoria
Newington,Victoria
Pascoe Vale South,Victoria
Patterson Lakes,Victoria
Pitfield,Victoria
Purdeet,Victoria
Reedy Flat,Victoria
Roslynmead,Victoria
Sawmill Settlement,Victoria
Smiths Beach,Victoria
Smiths Gully,Victoria
Somerton,Victoria
Stavely,Victoria
Stockdale,Victoria
Surrey Hills,Victoria
Swanpool,Victoria
Tallarook,Victoria
Teesdale,Victoria
The Sisters,Victoria
Tower Hill,Victoria
Trafalgar South,Victoria
Upper Lurg,Victoria
Wal Wal,Victoria
Walpa,Victoria
Wandella,Victoria
Wangoom,Victoria
Waterways,Victoria
Waurn Ponds,Victoria
Westmere,Victoria
Wheelers Hill,Victoria
Wickliffe,Victoria
Willatook,Victoria
